add_with,context_size,dsm,n,omit_type_2_verb_and_exp_theme,strict_compositional,dsm,num_total_evaluations,exp,correct,type_3_sibling_category,type_3_same_category,type_2_sibling_category,other,type_2_same_category
False,2,lon,30,False,False,lon,480,1a,1.0,0.0,0.0,0.0,0.0,
False,2,lon,30,False,True,lon,480,1a,1.0,0.0,0.0,0.0,0.0,
False,2,lon,30,True,False,lon,480,1a,1.0,0.0,0.0,0.0,0.0,
False,2,lon,30,True,True,lon,480,1a,1.0,0.0,0.0,0.0,0.0,
False,1,lon,30,True,True,lon,480,1a,0.52,0.0,0.48,0.0,0.0,
False,1,lon,30,False,False,lon,480,1a,0.51,0.0,0.49,0.0,0.0,
False,1,lon,30,False,True,lon,480,1a,0.5,0.0,0.5,0.0,0.0,
False,1,lon,30,True,False,lon,480,1a,0.5,0.0,0.5,0.0,0.0,
False,2,lon,30,False,False,lon,240,1b,1.0,0.0,0.0,0.0,0.0,
False,2,lon,30,False,True,lon,240,1b,1.0,0.0,0.0,0.0,0.0,
False,2,lon,30,True,False,lon,240,1b,1.0,0.0,0.0,0.0,0.0,
False,2,lon,30,True,True,lon,240,1b,1.0,0.0,0.0,0.0,0.0,
False,1,lon,30,False,False,lon,240,1b,0.52,0.0,0.48,0.0,0.0,
False,1,lon,30,True,True,lon,240,1b,0.52,0.0,0.48,0.0,0.0,
False,1,lon,30,True,False,lon,240,1b,0.51,0.0,0.49,0.0,0.0,
False,1,lon,30,False,True,lon,240,1b,0.49,0.0,0.51,0.0,0.0,
False,2,lon,30,False,False,lon,480,2a,1.0,0.0,,0.0,0.0,0.0
False,2,lon,30,False,True,lon,480,2a,1.0,0.0,,0.0,0.0,0.0
False,2,lon,30,True,False,lon,480,2a,1.0,0.0,,0.0,0.0,0.0
False,2,lon,30,True,True,lon,480,2a,1.0,0.0,,0.0,0.0,0.0
False,1,lon,30,True,False,lon,480,2a,0.51,0.0,,0.0,0.0,0.49
False,1,lon,30,False,True,lon,480,2a,0.5,0.0,,0.0,0.0,0.5
False,1,lon,30,False,False,lon,480,2a,0.49,0.0,,0.0,0.0,0.51
False,1,lon,30,True,True,lon,480,2a,0.48,0.0,,0.0,0.0,0.52
False,2,lon,30,False,False,lon,240,2b,1.0,0.0,,0.0,0.0,0.0
False,2,lon,30,False,True,lon,240,2b,1.0,0.0,,0.0,0.0,0.0
False,2,lon,30,True,False,lon,240,2b,1.0,0.0,,0.0,0.0,0.0
False,2,lon,30,True,True,lon,240,2b,1.0,0.0,,0.0,0.0,0.0
False,1,lon,30,False,True,lon,240,2b,0.52,0.0,,0.0,0.0,0.48
False,1,lon,30,True,False,lon,240,2b,0.49,0.0,,0.0,0.0,0.51
False,1,lon,30,False,False,lon,240,2b,0.48,0.0,,0.0,0.0,0.52
False,1,lon,30,True,True,lon,240,2b,0.48,0.0,,0.0,0.0,0.52
