add_reversed_seq,add_with,composition_fn,dsm,n,omit_type_2_verb_and_exp_theme,strict_compositional,dsm,num_total_evaluations,exp,correct,type_3_sibling_category,type_3_same_category,type_2_sibling_category,other,type_2_same_category
True,True,native,rnn,30,False,False,rnn,480,1a,0.87,0.04,0.04,0.01,0.05,
False,True,native,rnn,30,False,True,rnn,480,1a,0.83,0.01,0.02,0.02,0.11,
False,True,native,rnn,30,False,False,rnn,480,1a,0.82,0.02,0.05,0.0,0.1,
True,True,native,rnn,30,True,True,rnn,480,1a,0.81,0.02,0.07,0.01,0.09,
True,True,native,rnn,30,False,True,rnn,480,1a,0.79,0.02,0.01,0.02,0.17,
False,True,native,rnn,30,True,False,rnn,480,1a,0.76,0.02,0.08,0.0,0.14,
False,True,native,rnn,30,True,True,rnn,480,1a,0.76,0.03,0.08,0.02,0.11,
True,True,native,rnn,30,True,False,rnn,480,1a,0.75,0.06,0.05,0.01,0.13,
True,True,native,rnn,30,True,True,rnn,240,1b,0.74,0.04,0.07,0.01,0.14,
True,True,native,rnn,30,False,False,rnn,240,1b,0.68,0.09,0.05,0.02,0.17,
True,True,native,rnn,30,False,True,rnn,240,1b,0.64,0.03,0.05,0.03,0.25,
True,True,native,rnn,30,True,False,rnn,240,1b,0.6,0.09,0.07,0.02,0.22,
False,True,native,rnn,30,False,True,rnn,240,1b,0.48,0.08,0.05,0.05,0.34,
False,True,native,rnn,30,True,True,rnn,240,1b,0.47,0.13,0.1,0.02,0.28,
False,True,native,rnn,30,False,False,rnn,240,1b,0.42,0.15,0.06,0.02,0.34,
False,True,native,rnn,30,True,False,rnn,240,1b,0.42,0.11,0.05,0.07,0.35,
True,True,native,rnn,30,False,False,rnn,480,2a,0.87,0.05,,0.01,0.05,0.02
False,True,native,rnn,30,False,False,rnn,480,2a,0.83,0.04,,0.0,0.1,0.03
True,True,native,rnn,30,True,True,rnn,480,2a,0.8,0.05,,0.04,0.06,0.06
True,True,native,rnn,30,True,False,rnn,480,2a,0.78,0.06,,0.01,0.14,0.02
False,True,native,rnn,30,True,False,rnn,480,2a,0.77,0.05,,0.01,0.12,0.04
False,True,native,rnn,30,False,True,rnn,480,2a,0.74,0.05,,0.04,0.09,0.08
True,True,native,rnn,30,False,True,rnn,480,2a,0.72,0.02,,0.05,0.12,0.08
False,True,native,rnn,30,True,True,rnn,480,2a,0.71,0.04,,0.04,0.11,0.09
True,True,native,rnn,30,True,True,rnn,240,2b,0.71,0.09,,0.04,0.1,0.06
True,True,native,rnn,30,False,False,rnn,240,2b,0.57,0.19,,0.04,0.14,0.06
True,True,native,rnn,30,True,False,rnn,240,2b,0.52,0.22,,0.03,0.19,0.04
True,True,native,rnn,30,False,True,rnn,240,2b,0.51,0.1,,0.08,0.2,0.11
False,True,native,rnn,30,True,False,rnn,240,2b,0.35,0.3,,0.04,0.27,0.05
False,True,native,rnn,30,True,True,rnn,240,2b,0.33,0.31,,0.06,0.24,0.05
False,True,native,rnn,30,False,True,rnn,240,2b,0.32,0.3,,0.08,0.22,0.08
False,True,native,rnn,30,False,False,rnn,240,2b,0.26,0.3,,0.09,0.28,0.08
