add_reversed_seq,add_with,composition_fn,dsm,n,omit_type_2_verb_and_exp_theme,rnn_type,strict_compositional,dsm,exp,instrument_correct_prop,instrument_type_3_sibling_category_prop,instrument_type_2_same_category_prop,instrument_type_2_sibling_category_prop,instrument_other_prop
True,True,native,rnn,30,True,lstm,True,rnn,2b,0.71,0.09,0.06,0.04,0.1
True,True,native,rnn,30,True,srn,True,rnn,2b,0.69,0.06,0.04,0.02,0.19
True,True,native,rnn,30,False,lstm,False,rnn,2b,0.57,0.19,0.06,0.04,0.14
True,True,native,rnn,30,False,srn,True,rnn,2b,0.55,0.1,0.05,0.05,0.25
True,True,native,rnn,30,True,srn,False,rnn,2b,0.53,0.07,0.05,0.02,0.32
True,True,native,rnn,30,True,lstm,False,rnn,2b,0.52,0.22,0.04,0.03,0.19
True,True,native,rnn,30,False,lstm,True,rnn,2b,0.51,0.1,0.11,0.08,0.2
True,True,native,rnn,30,False,srn,False,rnn,2b,0.48,0.14,0.09,0.02,0.28
False,True,native,rnn,30,True,srn,True,rnn,2b,0.36,0.32,0.03,0.05,0.24
False,True,native,rnn,30,True,lstm,False,rnn,2b,0.35,0.3,0.05,0.04,0.27
False,True,native,rnn,30,True,lstm,True,rnn,2b,0.33,0.31,0.05,0.06,0.24
False,True,native,rnn,30,False,lstm,True,rnn,2b,0.32,0.3,0.08,0.08,0.22
False,True,native,rnn,30,True,srn,False,rnn,2b,0.32,0.31,0.02,0.02,0.31
False,True,native,rnn,30,False,srn,False,rnn,2b,0.28,0.27,0.04,0.04,0.37
False,True,native,rnn,30,False,srn,True,rnn,2b,0.27,0.3,0.03,0.04,0.35
False,True,native,rnn,30,False,lstm,False,rnn,2b,0.26,0.3,0.08,0.09,0.28
